Stop Time,Sorting,TubeSetting,Tube,Enable SVM,Num channel for SVM,1st Detector,2nd Detector,Sort Count,Sort Rate,Rejection Count,Rejection Rate,Efficiency,Abort Count,Abort Rate,Sort Gate Index,Sort Gate Name,Model Path,Model Features,H/W Channels,SVM Score Threshold,Define Minimum SVM Score,Pulse Delay Pin0,Pulse Width Pin0,Num Repetitions Pin0,Recording Mode,FSC gain (mV),BSC gain (mV),FL1 gain (mV),FL2 gain (mV),FL3 gain (mV),FL4 gain (mV),FL5 gain (mV),NA gain (mV),fsGMI gain (mV),bsGMI gain (mV),dGMI gain (mV),bfGMI gain (mV),Detector13 gain (mV),Detector14 gain (mV),Detector15 gain (mV),Detector16 gain (mV),FSC HPF on,FSC HPF Window Size,FSC HPF Epsilon,FSC HPF Down Sample,FSC HPF k,FSC HPF target FRQ,BSC HPF on,BSC HPF Window Size,BSC HPF Epsilon,BSC HPF Down Sample,BSC HPF k,BSC HPF target FRQ,FL1 HPF on,FL1 HPF Window Size,FL1 HPF Epsilon,FL1 HPF Down Sample,FL1 HPF k,FL1 HPF target FRQ,FL2 HPF on,FL2 HPF Window Size,FL2 HPF Epsilon,FL2 HPF Down Sample,FL2 HPF k,FL2 HPF target FRQ,FL3 HPF on,FL3 HPF Window Size,FL3 HPF Epsilon,FL3 HPF Down Sample,FL3 HPF k,FL3 HPF target FRQ,FL4 HPF on,FL4 HPF Window Size,FL4 HPF Epsilon,FL4 HPF Down Sample,FL4 HPF k,FL4 HPF target FRQ,FL5 HPF on,FL5 HPF Window Size,FL5 HPF Epsilon,FL5 HPF Down Sample,FL5 HPF k,FL5 HPF target FRQ,NA HPF on,NA HPF Window Size,NA HPF Epsilon,NA HPF Down Sample,NA HPF k,NA HPF target FRQ,fsGMI HPF on,fsGMI HPF Window Size,fsGMI HPF Epsilon,fsGMI HPF Down Sample,fsGMI HPF k,fsGMI HPF target FRQ,bsGMI HPF on,bsGMI HPF Window Size,bsGMI HPF Epsilon,bsGMI HPF Down Sample,bsGMI HPF k,bsGMI HPF target FRQ,dGMI HPF on,dGMI HPF Window Size,dGMI HPF Epsilon,dGMI HPF Down Sample,dGMI HPF k,dGMI HPF target FRQ,bfGMI HPF on,bfGMI HPF Window Size,bfGMI HPF Epsilon,bfGMI HPF Down Sample,bfGMI HPF k,bfGMI HPF target FRQ,Detector13 HPF on,Detector13 HPF Window Size,Detector13 HPF Epsilon,Detector13 HPF Down Sample,Detector13 HPF k,Detector13 HPF target FRQ,Detector14 HPF on,Detector14 HPF Window Size,Detector14 HPF Epsilon,Detector14 HPF Down Sample,Detector14 HPF k,Detector14 HPF target FRQ,Detector15 HPF on,Detector15 HPF Window Size,Detector15 HPF Epsilon,Detector15 HPF Down Sample,Detector15 HPF k,Detector15 HPF target FRQ,Detector16 HPF on,Detector16 HPF Window Size,Detector16 HPF Epsilon,Detector16 HPF Down Sample,Detector16 HPF k,Detector16 HPF target FRQ,Data Length,Pretrig Length,MainTrig voltPreThUp,MainTrig voltPostThDw,Sample Rate,TrgLevel,Sample MF,Sh P,Sh MF,Flowpath Size,Acquisition Speed,405 Power[mW],488 Power[mW],637 Power[mW],X Target Position[um],Y Target Position[um],Z Target Position[um],T Target Position[deg],X Actual Position[um],Y Actual Position[um],Z Actual Position[um],T Actual Position[deg],features
2023-10-04 15:08:07,FALSE,Tube Setting 1,Run 5,,,,,,,,,,,,,,,,,,,,,,RECORD,0,317,317,488,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,340,365.00,150.00,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.630,7243.950,-3216.000,-2.000,
2023-10-04 15:16:41,FALSE,Tube Setting 1,Run 5,,,,,,,,,,,,,,,,,,,,,,PLAY,0,317,317,488,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,152,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.632,7243.950,-3216.000,-2.000,
2023-10-04 15:17:50,FALSE,Tube Setting 1,Run 6,,,,,,,,,,,,,,,,,,,,,,RECORD,0,317,317,488,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,295,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.628,7243.956,-3216.000,-2.000,
2023-10-04 15:25:46,FALSE,Tube Setting 1,Run 6,,,,,,,,,,,,,,,,,,,,,,PLAY,0,317,317,488,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,79,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.634,7243.946,-3216.000,-2.000,
2023-10-04 15:27:28,FALSE,Tube Setting 1,Run 7,,,,,,,,,,,,,,,,,,,,,,RECORD,0,317,317,488,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,471,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.626,7243.952,-3216.000,-2.000,
2023-10-04 15:34:32,FALSE,Tube Setting 1,Run 7,,,,,,,,,,,,,,,,,,,,,,PLAY,0,317,317,488,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,0,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.634,7243.952,-3216.000,-2.000,
2023-10-04 15:35:28,FALSE,Tube Setting 1,Run 8,,,,,,,,,,,,,,,,,,,,,,RECORD,0,317,317,488,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,301,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.632,7243.956,-3216.000,-2.000,
2023-10-04 15:45:40,FALSE,Jurkat_live_dead_apo,Run 8,,,,,,,,,,,,,,,,,,,,,,PLAY,0,317,317,290,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,349,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.630,7243.952,-3216.000,-2.000,
2023-10-04 15:50:14,FALSE,Jurkat_live_dead_apo,Run 9,,,,,,,,,,,,,,,,,,,,,,RECORD,0,317,317,290,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,479,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.628,7243.946,-3216.000,-2.000,
2023-10-04 15:57:16,FALSE,Jurkat_live_dead_apo,Run 9,,,,,,,,,,,,,,,,,,,,,,PLAY,0,317,317,290,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,93,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.636,7243.950,-3216.000,-2.000,
2023-10-04 16:01:44,FALSE,Jurkat_live_dead_apo,Run 10,,,,,,,,,,,,,,,,,,,,,,RECORD,0,317,317,290,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,301,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.632,7243.952,-3216.000,-2.000,
2023-10-04 16:08:38,FALSE,Jurkat_live_dead_apo,Run 10,,,,,,,,,,,,,,,,,,,,,,PLAY,0,317,317,290,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,48,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.628,7243.952,-3216.000,-2.000,
2023-10-04 16:09:36,FALSE,Jurkat_live_dead_apo,Run 11,,,,,,,,,,,,,,,,,,,,,,RECORD,0,317,317,290,517,0,357,0,293,331,390,0,0,0,0,0,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,1,8,2,8,370,2000,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,896,40,20.000000,20.000000,6,20.000000,,,,0,215,365.00,150.24,160.00,-8473.626,7243.953,-3217.780,-2.000,-8473.632,7243.958,-3216.000,-2.000,
